Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WIPRO,EQ,January,476.5,477.9,481.5,475,476,476.2,478.37,845068,404257730.2,40243,528400,62.53
WIPRO,EQ,January,476.2,476,484.25,474.25,483,483.2,481.66,701527,337900306.9,27003,350418,49.95
WIPRO,EQ,January,483.2,485.1,486.45,480.35,483.45,484.65,483.58,810523,391950599.6,26108,492470,60.76
WIPRO,EQ,January,484.65,482.9,487.7,479.8,483.6,484.75,484.53,605125,293199165.9,14417,329966,54.53
WIPRO,EQ,January,484.75,485.35,487.7,480.5,481,482.4,484.9,552927,268113197,29874,346744,62.71
WIPRO,EQ,January,482.4,482.4,487,480,480.6,482.95,483.58,536929,259650207.6,16628,308319,57.42
WIPRO,EQ,January,482.95,483.4,484.45,475.25,477.85,479,478.75,897240,429557540.1,24248,491194,54.74
WIPRO,EQ,January,479,476.55,479.8,475,478.5,477.9,477.32,764479,364898239.1,16616,521837,68.26
WIPRO,EQ,January,477.9,472.55,484.3,471.75,480.6,479.75,479.38,1145339,549055228.2,30063,600296,52.41
WIPRO,EQ,January,479.75,482.65,483,476,478,481.5,480.26,735219,353095827.4,12067,398456,54.2
WIPRO,EQ,January,481.5,482,484,471.2,475,473.7,475.27,2044971,971917047.1,42383,1328367,64.96
WIPRO,EQ,January,473.7,469.5,473.7,464.3,466,465.55,467.5,1926030,900416225.4,47491,776313,40.31
WIPRO,EQ,January,465.55,464,468,457.5,466,465.75,460.96,1847613,851680039.4,23525,1144935,61.97
WIPRO,EQ,January,465.75,465.8,465.8,445.35,460.4,458,455.05,2742827,1248125953,65606,1586275,57.83
WIPRO,EQ,February,458,461,461,450,457.5,456,454.58,1640767,745859424.4,42232,958348,58.41
WIPRO,EQ,February,456,456,457.95,446.1,456,455.65,452.28,1532200,692980387.2,35149,727599,47.49
WIPRO,EQ,February,455.65,456,459.6,454.1,458.35,457.75,456.54,877960,400819684.9,15764,439040,50.01
WIPRO,EQ,February,457.75,458.65,462.8,454.5,460.4,461.1,458.84,1237410,567777592.3,16939,624227,50.45
WIPRO,EQ,February,461.1,462,462,455.55,458.75,458.55,457.79,836207,382807742.9,19236,412457,49.32
